Date : 2022-10-08 09:51:56
Directory : d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler
Total : 178 files,  55598 codes, 7759 comments, 4910 blanks, all 68267 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Go       |        177 |     55,596 |      7,759 |      4,908 |     68,263 |
| Markdown |          1 |          2 |          0 |          2 |          4 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| framework\plugins\nodevolumelimits                                                                                                              |          5 |      2,157 |        230 |        195 |      2,582 |
| framework\plugins\podtopologyspread                                                                                                             |          6 |      4,627 |        311 |        146 |      5,084 |
| framework\plugins\queuesort                                                                                                                     |          2 |         91 |         37 |         14 |        142 |
| framework\plugins\selectorspread                                                                                                                |          3 |        942 |         91 |         66 |      1,099 |
| framework\plugins\tainttoleration                                                                                                               |          2 |        426 |         57 |         38 |        521 |
| framework\plugins\testing                                                                                                                       |          1 |         54 |         21 |          6 |         81 |
| framework\plugins\volumebinding                                                                                                                 |         11 |      4,870 |        672 |        569 |      6,111 |
| framework\plugins\volumebinding\metrics                                                                                                         |          1 |         30 |         20 |          6 |         56 |
| framework\plugins\volumerestrictions                                                                                                            |          2 |        428 |         68 |         51 |        547 |
| framework\plugins\volumezone                                                                                                                    |          2 |        540 |         65 |         42 |        647 |
| framework\preemption                                                                                                                            |          2 |        705 |        153 |         68 |        926 |
| framework\runtime                                                                                                                               |          6 |      3,856 |        361 |        387 |      4,604 |
| internal                                                                                                                                        |         20 |      6,379 |      1,075 |        686 |      8,140 |
| internal\cache                                                                                                                                  |         14 |      3,553 |        527 |        381 |      4,461 |
| internal\cache\debugger                                                                                                                         |          6 |        356 |        114 |         72 |        542 |
| internal\cache\fake                                                                                                                             |          1 |         41 |         31 |         19 |         91 |
| internal\heap                                                                                                                                   |          2 |        334 |         96 |         53 |        483 |
| internal\queue                                                                                                                                  |          4 |      2,492 |        452 |        252 |      3,196 |
| metrics                                                                                                                                         |          6 |        980 |        156 |         89 |      1,225 |
| metrics\resources                                                                                                                               |          2 |        656 |         59 |         32 |        747 |
| profile                                                                                                                                         |          2 |        352 |         37 |         27 |        416 |
| testing                                                                                                                                         |          5 |      1,071 |        328 |        207 |      1,606 |
| util                                                                                                                                            |          4 |        507 |        103 |         57 |        667 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                        | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\doc.go                                                  | Go       |          1 |         17 |          3 |         21 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\latest\latest.go                                        | Go       |         18 |         21 |          5 |         44 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\register.go                                             | Go       |         24 |         20 |          7 |         51 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\scheme\scheme.go                                        | Go       |         24 |         18 |          7 |         49 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\scheme\scheme_test.go                                   | Go       |      1,205 |         21 |          6 |      1,232 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\testing\config.go                                       | Go       |         27 |         17 |          8 |         52 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\testing\defaults\defaults.go                            | Go       |        276 |         39 |          8 |        323 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\types.go                                                | Go       |        116 |        163 |         45 |        324 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\types_pluginargs.go                                     | Go       |         65 |        113 |         37 |        215 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\types_test.go                                           | Go       |         44 |         15 |          5 |         64 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\conversion.go                                   | Go       |         75 |         23 |         10 |        108 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\default_plugins.go                              | Go       |        147 |         26 |         11 |        184 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\default_plugins_test.go                         | Go       |        356 |         15 |          9 |        380 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\defaults.go                                     | Go       |        184 |         35 |         26 |        245 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\defaults_test.go                                | Go       |        629 |         15 |          8 |        652 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\doc.go                                          | Go       |          1 |         21 |          3 |         25 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\register.go                                     | Go       |         13 |         23 |          7 |         43 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\zz_generated.conversion.go                      | Go       |        807 |         58 |         86 |        951 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\zz_generated.deepcopy.go                        | Go       |          1 |         18 |          4 |         23 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\zz_generated.defaults.go                        | Go       |         40 |         21 |         13 |         74 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\conversion.go                                   | Go       |         75 |         23 |         10 |        108 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\default_plugins.go                              | Go       |         96 |         28 |         12 |        136 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\default_plugins_test.go                         | Go       |        500 |         15 |          9 |        524 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\defaults.go                                     | Go       |        186 |         35 |         25 |        246 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\defaults_test.go                                | Go       |        624 |         15 |          8 |        647 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\doc.go                                          | Go       |          1 |         21 |          3 |         25 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\register.go                                     | Go       |         13 |         23 |          7 |         43 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\zz_generated.conversion.go                      | Go       |        795 |         60 |         86 |        941 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\zz_generated.deepcopy.go                        | Go       |          1 |         18 |          4 |         23 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\zz_generated.defaults.go                        | Go       |         40 |         21 |         13 |         74 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\validation\validation.go                                | Go       |        274 |         26 |         21 |        321 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\validation\validation_pluginargs.go                     | Go       |        249 |         34 |         36 |        319 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\validation\validation_pluginargs_test.go                | Go       |      1,110 |         15 |         24 |      1,149 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\validation\validation_test.go                           | Go       |        513 |         15 |         50 |        578 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\zz_generated.deepcopy.go                                | Go       |        433 |         66 |         53 |        552 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\eventhandlers.go                                                    | Go       |        416 |         73 |         41 |        530 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\eventhandlers_test.go                                               | Go       |        473 |         17 |         30 |        520 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\extender.go                                                         | Go       |        380 |         51 |         44 |        475 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\extender_test.go                                                    | Go       |        471 |         28 |         15 |        514 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\cycle_state.go                                            | Go       |         55 |         41 |         15 |        111 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\cycle_state_test.go                                       | Go       |        110 |         20 |         22 |        152 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\extender.go                                               | Go       |         20 |         41 |         12 |         73 |
| d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\fake\listers.go                                           | Go       |        208 |         53 |         56 |        317 |
