"filename", "language", "Go", "Markdown", "comment", "blank", "total"
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\noderesources\least_allocated.go", "Go", 28, 0, 24, 6, 58
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\noderesources\least_allocated_test.go", "Go", 306, 0, 94, 12, 412
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\noderesources\most_allocated.go", "Go", 28, 0, 28, 6, 62
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\noderesources\most_allocated_test.go", "Go", 271, 0, 86, 11, 368
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\noderesources\requested_to_capacity_ratio.go", "Go", 42, 0, 20, 9, 71
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\noderesources\requested_to_capacity_ratio_test.go", "Go", 365, 0, 159, 39, 563
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\noderesources\resource_allocation.go", "Go", 94, 0, 34, 19, 147
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\noderesources\test_util.go", "Go", 26, 0, 15, 5, 46
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\nodeunschedulable\node_unschedulable.go", "Go", 42, 0, 27, 12, 81
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\nodeunschedulable\node_unschedulable_test.go", "Go", 63, 0, 15, 7, 85
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\nodevolumelimits\csi.go", "Go", 270, 0, 67, 52, 389
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\nodevolumelimits\csi_test.go", "Go", 656, 0, 30, 37, 723
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\nodevolumelimits\non_csi.go", "Go", 378, 0, 91, 70, 539
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\nodevolumelimits\non_csi_test.go", "Go", 788, 0, 20, 26, 834
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\nodevolumelimits\utils.go", "Go", 65, 0, 22, 10, 97
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\podtopologyspread\common.go", "Go", 101, 0, 24, 11, 136
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\podtopologyspread\filtering.go", "Go", 269, 0, 67, 47, 383
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\podtopologyspread\filtering_test.go", "Go", 2676, 0, 69, 23, 2768
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\podtopologyspread\plugin.go", "Go", 101, 0, 32, 14, 147
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\plugins\podtopologyspread\scoring.go", "Go", 213, 0, 67, 31, 311
